id;libelle;libelleselection;precisionlibelleselection;tooltip;reference;choisie_par_defaut;modifiable;visible;numero_ordre;filtre_identifiant;type_specificite;libelle_risque;groupement_tarifaire;produit_id;rubrique_id
1;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;payment e-markets system;Organic;false;false;true;12016;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;Bucki;5;7
2;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;Generic Frozen Tuna HTTP;implement;true;true;true;50103;Norfolk Island Chilean Pe;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Stati;6;9
3;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;Investment Account parsing invoice;black;false;false;false;37725;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt;wireless;hybri;2;7
4;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;extensible Accountability Handmade Cotton Bacon;intermediate Table quantify;true;true;true;73164;Cotton Robust;user-centric Infrastructu;Managed Dobra application;Fanta;10;6
5;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;Buckinghamshire monetize;Direct;false;false;false;95854;bypassing granular Usabil;Applications Missouri dep;Gorgeous Money Market Account;Danis;8;8
6;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;Wooden Optimization Associate;Austria mindshare EXE;false;true;false;96865;Syrian Pound;Auto Loan Account Refined;Centralized revolutionize International;Sleek;1;3
7;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;Maine PCI SAS;Interactions;true;true;true;35021;bandwidth Buckinghamshire;Oklahoma communities;array supply-chains Advanced;Parkw;2;9
8;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;input Naira;Markets;false;false;false;8289;Cyprus web services auxil;Designer Incredible Fresh;Senior Optional Yemeni Rial;Centr;7;3
9;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;true;false;true;39452;Generic B2B;olive;facilitate Persevering;Fanta;10;3
10;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;Ridges Beauty dynamic;multi-byte Pound Sterling;false;false;true;7620;Usability models New Mexi;markets Accountability EX;Chair;drive;10;10
