id;libelle;formule_libelle;formule;formule_application;epingle_garantie;numero_ordre;garantie_id
1;engage;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;SMS;true;53434;10
2;Agent Monaco input;program enhance Multi-channelled;Concrete;mission-critical white SMTP;true;61812;1
3;background Baby;Kyrgyz Republic transmit;solution connecting;California PNG engage;false;48004;1
4;transmit Credit Card Account;digital Corporate Checking Account;seamless New York mesh;Unbranded array;true;51398;5
5;Regional middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;true;57964;3
6;Awesome Granite;Delaware;Metal deposit;Rupiah;false;89678;9
7;Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;Awesome;false;53442;5
8;cyan innovative;open architecture alliance;online;Bulgarian Lev Cambridgeshire;false;92087;4
9;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;false;72051;8
10;Games;Metal;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;false;53261;4
