id;libelle;visible;numero_ordre;tooltip
1;Gorgeous;true;37728;Toys
2;overriding;false;32749;Concrete National
3;Ranch impactful;true;49844;Awesome Russian Federation
4;Pennsylvania Michigan;true;12758;encompassing customized
5;Home Loan Account Grass-roots;false;98651;Personal Loan Account
6;Music;false;15285;Multi-tiered Pizza
7;Gorgeous;true;17337;Internal
8;Sleek Steel Shirt;true;98237;Fresh incubate Agent
9;Jewelery Engineer Bedfordshire;true;66864;Assurance Nebraska Mississippi
10;synthesizing;false;18704;orchestration channels Buckinghamshire
